Source,Target,Weight
C00081,T0003,1
C00081,T0004,1
C00081,T0028,1
C00081,T0006,1
C00081,T0022,1
C00081,T0023,1
C00081,T0026,1
C00081,T0027,1
C00081,T0044,1
C00081,T0053,1
C00081,T0054,1
C00081,T0055,1
C00081,T0056,1
C00082,T0002,1
C00082,T0003,1
C00082,T0004,1
C00082,T0028,1
C00082,T0006,1
C00082,T0022,1
C00082,T0023,1
C00082,T0025,1
C00082,T0026,1
C00082,T0027,1
C00082,T0044,1
C00082,T0053,1
C00082,T0054,1
C00082,T0055,1
C00082,T0056,1
C00084,T0002,1
C00084,T0003,1
C00084,T0004,1
C00084,T0028,1
C00084,T0006,1
C00084,T0022,1
C00084,T0027,1
C00084,T0059,1
C00085,T0008,1
C00085,T0007,1
C00085,T0017,1
C00085,T0022,1
C00085,T0021,1
C00085,T0025,1
C00085,T0024,1
C00085,T0026,1
C00085,T0045,1
C00085,T0044,1
C00085,T0049,1
C00085,T0051,1
C00085,T0052,1
C00085,T0053,1
C00085,T0054,1
C00085,T0055,1
C00085,T0056,1
C00085,T0057,1
C00085,T0061,1
C00085,T0060,1
C00086,T0044,1
C00086,T0050,1
C00086,T0051,1
C00086,T0049,1
C00086,T0054,1
C00086,T0053,1
C00086,T0055,1
C00087,T0039,1
C00087,T0044,1
C00087,T0048,1
C00087,T0050,1
C00087,T0051,1
C00087,T0049,1
C00087,T0052,1
C00087,T0054,1
C00087,T0053,1
C00087,T0055,1
C00087,T0056,1
C00090,T0020,1
C00090,T0062,1
C00090,T0063,1
C00091,T0062,1
C00091,T0063,1
C00091,T0054,1
C00091,T0053,1
C00091,T0049,1
C00092,TA07,1
C00092,TA08,1
C00092,T0010,1
C00092,T0023,1
C00092,T0039,1
C00092,T0045,1
C00092,T0044,1
C00092,T0054,1
C00092,T0053,1
C00092,T0056,1
C00093,TA07,1
C00093,T0010,1
C00093,T0017,1
C00093,T0039,1
C00093,T0047,1
C00093,T0048,1
C00093,T0053,1
C00094,T0026,1
C00096,T0022,1
C00096,T0027,1
C00096,T0026,1
C00096,T0024,1
C00096,T0023,1
C00096,T0025,1
C00097,T0029,1
C00097,T0030,1
C00097,T0045,1
C00097,T0009,1
C00097,T0007,1
C00097,T0054,1
C00097,T0053,1
C00098,T0038,1
C00098,T0011,1
C00099,T0030,1
C00099,T0045,1
C00099,T0009,1
C00099,T0008,1
C00099,T0007,1
C00100,T0055,1
C00101,T0029,1
C00101,T0049,1
C00101,T0053,1
C00101,T0054,1
C00103,T0029,1
C00103,T0062,1
C00103,T0063,1
C00103,T0053,1
C00105,T0016,1
C00105,T0018,1
C00106,T0016,1
C00107,T0009,1
C00107,T0008,1
C00107,T0007,1
C00107,T0013,1
C00107,T0014,1
C00107,T0015,1
C00107,T0016,1
C00107,T0017,1
C00107,T0018,1
C00107,T0021,1
C00107,T0025,1
C00107,T0024,1
C00107,T0026,1
C00107,T0045,1
C00107,T0055,1
C00107,T0057,1
C00107,T0001,1
C00107,T0022,1
C00107,T0027,1
C00107,T0061,1
C00111,T0010,1
C00112,T0040,1
C00112,T0042,1
C00113,T0045,1
C00114,T0039,1
C00114,T0048,1
C00115,T0041,1
C00115,T0048,1
C00115,T0052,1
C00115,T0053,1
C00115,T0056,1
C00116,T0041,1
C00117,T0046,1
C00117,T0022,1
C00117,T0021,1
C00117,T0025,1
C00117,T0024,1
C00117,T0026,1
C00117,T0045,1
C00117,T0044,1
C00117,T0060,1
C00118,T0044,1
C00118,T0021,1
C00118,T0024,1
C00119,T0022,1
C00119,T0021,1
C00119,T0025,1
C00119,T0024,1
C00119,T0026,1
C00119,T0045,1
C00119,T0044,1
C00119,T0060,1
C00120,T0047,1
C00120,T0052,1
C00120,T0053,1
C00120,T0054,1
C00120,T0055,1
C00120,T0056,1
C00121,T0043,1
C00122,T0008,1
C00122,T0007,1
C00122,T0014,1
C00122,T0015,1
C00122,T0016,1
C00122,T0017,1
C00122,T0018,1
C00122,T0022,1
C00122,T0021,1
C00122,T0025,1
C00122,T0024,1
C00122,T0026,1
C00122,T0045,1
C00122,T0044,1
C00122,T0049,1
C00122,T0051,1
C00122,T0052,1
C00122,T0053,1
C00122,T0054,1
C00122,T0055,1
C00122,T0056,1
C00122,T0057,1
C00122,T0061,1
C00122,T0060,1
C00123,T0029,1
C00123,T0049,1
C00123,T0054,1
C00123,T0060,1
C00124,TA08,1
C00124,TA09,1
C00124,T0053,1
C00124,T0063,1
C00125,T0056,1
C00125,T0052,1
C00125,T0054,1
C00125,T0053,1
C00125,T0055,1
C00125,T0045,1
C00125,T0022,1
C00125,T0027,1
C00125,T0002,1
C00125,T0003,1
C00125,T0004,1
C00125,T0010,1
C00126,T0056,1
C00126,T0052,1
C00126,T0054,1
C00126,T0053,1
C00126,T0055,1
C00126,T0045,1
C00126,T0022,1
C00126,T0027,1
C00126,T0002,1
C00126,T0003,1
C00126,T0004,1
C00126,T0010,1
C00126,T0057,1
C00128,T0050,1
C00128,T0056,1
C00128,T0049,1
C00128,T0052,1
C00128,T0054,1
C00128,T0053,1
C00128,T0055,1
C00128,T0057,1
C00128,T0061,1
C00129,T0057,1
C00129,T0061,1
C00129,T0014,1
C00129,T0017,1
C00129,T0018,1
C00130,T0010,1
C00131,T0049,1
C00131,T0054,1
C00131,T0060,1
C00133,TA07,1
C00133,TA09,1
C00133,TA10,1
C00133,T0007,1
C00133,T0009,1
C00133,T0045,1
C00133,T0011,1
C00133,T0045,1
C00135,TA07,1
C00135,TA09,1
C00135,TA10,1
C00135,T0007,1
C00135,T0043,1
C00136,TA08,1
C00136,TA09,1
C00136,TA10,1
C00136,T0010,1
C00136,T0020,1
C00136,T0063,1
C00138,T0060,1
C00138,T0056,1
C00140,TA05,1
C00140,TA09,1
C00140,TA10,1
C00142,TA05,1
C00142,TA09,1
C00142,TA10,1
C00142,TA11,1
C00142,T0016,1
C00143,T0060,1
C00143,T0058,1
C00143,T0024,1
C00144,T0053,1
C00147,T0060,1
C00148,T0062,1
C00148,T0063,1
C00149,TA12,1
C00149,T0020,1
C00149,T0046,1
C00149,T0057,1
C00149,T0063,1
C00153,T0008,1
C00153,T0007,1
C00153,T0011,1
C00153,T0013,1
C00153,T0014,1
C00153,T0017,1
C00153,T0018,1
C00153,T0056,1
C00153,T0049,1
C00153,T0052,1
C00153,T0054,1
C00153,T0053,1
C00153,T0058,1
C00153,T0057,1
C00153,T0061,1
C00154,T0039,1
C00154,T0048,1
C00154,T0045,1
C00155,T0014,1
C00155,T0017,1
C00156,T0022,1
C00156,T0027,1
C00156,T0002,1
C00156,T0003,1
C00156,T0004,1
C00156,T0010,1
C00160,T0039,1
C00160,T0010,1
C00160,T0048,1
C00161,T0022,1
C00161,T0027,1
C00161,T0002,1
C00161,T0003,1
C00161,T0004,1
C00162,T0010,1
C00162,T0022,1
C00162,T0027,1
C00162,T0002,1
C00162,T0003,1
C00162,T0004,1
C00162,T0039,1
C00162,T0052,1
C00162,T0056,1
C00162,T0050,1
C00164,T0022,1
C00164,T0027,1
C00164,T0002,1
C00164,T0003,1
C00164,T0004,1
C00165,T0025,1
C00169,T0010,1
C00169,T0022,1
C00169,T0027,1
C00169,T0002,1
C00169,T0003,1
C00169,T0004,1
C00169,T0039,1
C00172,T0008,1
C00172,T0007,1
C00172,T0013,1
C00174,T0001,1
C00174,T0045,1
C00174,T0010,1
C00174,T0022,1
C00174,T0027,1
C00174,T0044,1
C00176,T0009,1
C00176,T0008,1
C00176,T0007,1
C00176,T0013,1
C00176,T0014,1
C00176,T0015,1
C00176,T0016,1
C00176,T0017,1
C00176,T0018,1
C00176,T0021,1
C00176,T0025,1
C00176,T0024,1
C00176,T0026,1
C00176,T0045,1
C00176,T0043,1
C00176,T0056,1
C00176,T0051,1
C00176,T0049,1
C00176,T0052,1
C00176,T0054,1
C00176,T0053,1
C00176,T0055,1
C00176,T0058,1
C00176,T0057,1
C00176,T0001,1
C00176,T0003,1
C00176,T0010,1
C00176,T0022,1
C00176,T0027,1
C00176,T0061,1
C00178,T0016,1
C00178,T0017,1
C00178,T0018,1
C00178,T0020,1
C00182,T0011,1
C00182,T0054,1
C00184,T0045,1
C00184,T0055,1
C00184,T0039,1
C00184,T0041,1
C00184,T0044,1
C00184,T0045,1
C00184,T0010,1
C00188,T0001,1
C00188,T0003,1
C00188,T0022,1
C00188,T0027,1
C00188,T0045,1
C00188,T0008,1
C00188,T0010,1
C00188,T0039,1
C00188,T0046,1
C00189,T0008,1
C00189,T0007,1
C00189,T0011,1
C00189,T0014,1
C00189,T0009,1
C00190,T0001,1
C00190,T0003,1
C00190,T0010,1
C00190,T0022,1
C00190,T0027,1
C00190,T0025,1
C00195,T0010,1
C00195,T0016,1
C00195,T0018,1
C00195,T0022,1
C00195,T0027,1
C00195,T0025,1
C00195,T0024,1
C00195,T0026,1
C00195,T0045,1
C00195,T0046,1
C00195,T0055,1
C00197,T0009,1
C00197,T0007,1
C00197,T0011,1
C00200,T0010,1
C00200,T0027,1
C00200,T0022,1
C00200,T0045,1
C00200,T0025,1
C00202,T0025,1
C00203,T0010,1
C00203,T0027,1
C00203,T0022,1
C00203,T0028,1
C00203,T0039,1
C00203,T0045,1
C00203,T0056,1
C00203,T0052,1
C00205,T0001,1
C00205,T0003,1
C00205,T0022,1
C00205,T0025,1
C00205,T0027,1
C00211,T0027,1
C00211,T0022,1
C00211,T0028,1
C00211,T0026,1
C00211,T0021,1
C00211,T0020,1
C00211,T0025,1
C00211,T0024,1
C00211,T0026,1
C00211,T0045,1
C00211,T0055,1
C00211,T0057,1
C00212,T0001,1
C00212,T0003,1
C00212,T0010,1
C00212,T0022,1
C00216,T0014,1
C00216,T0016,1
C00216,T0017,1
C00216,T0061,1
C00216,T0018,1
C00216,T0057,1
C00219,T0024,1
C00219,T0026,1
C00219,T0025,1
